"GroupId","PersonalId","HomePlanet","CryoSleep","Deck","Num","Side","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","FirstName","LastName","Transported"
28,1,"Mars",FALSE,"F",8,"P","TRAPPIST-1e",43,FALSE,1125,0,136,48,0,"Ceros","Mare",0
30,1,"Earth",FALSE,"G",4,"S","TRAPPIST-1e",32,FALSE,0,850,81,437,453,"Ginia","Morsentley",0
31,1,"Mars",FALSE,"F",9,"P","TRAPPIST-1e",47,FALSE,214,0,1411,0,1229,"Coobix","Datie",1
31,3,"Mars",FALSE,"F",9,"P","TRAPPIST-1e",20,FALSE,214,0,1750,990,0,"Dontch","Datie",1
34,1,"Europa",TRUE,"D",1,"S","55 Cancri e",28,FALSE,0,0,0,0,0,"Ziba","Oingwhedly",1
35,1,"Mars",FALSE,"D",1,"P","55 Cancri e",23,FALSE,784,964,0,951,0,"Luse","Butte",0
38,1,"Earth",FALSE,"F",10,"S","55 Cancri e",20,FALSE,554,195,0,2606,0,"Loise","Wheelez",0
39,1,"Earth",TRUE,"G",1,"P","55 Cancri e",30,FALSE,0,0,0,0,0,"Jorgie","Batthewitt",0
41,1,"Earth",TRUE,"G",2,"P","TRAPPIST-1e",17,FALSE,0,0,0,0,0,"Margia","Moodsey",1
43,1,"Europa",FALSE,"B",3,"P","TRAPPIST-1e",45,FALSE,0,164,45,2511,855,"Ankalik","Cylistrand",0
44,3,"Earth",TRUE,"G",3,"P","PSO J318.5-22",21,FALSE,0,0,0,0,0,"Cassa","Coopelandez",1
45,2,"Mars",TRUE,"F",10,"P","TRAPPIST-1e",19,FALSE,0,0,0,0,0,"Mass","Chmad",1
50,1,"Earth",FALSE,"E",1,"S","55 Cancri e",35,FALSE,790,0,0,0,0,"Sony","Lancis",0
51,1,"Earth",FALSE,"E",2,"S","TRAPPIST-1e",56,FALSE,0,112,0,1379,127,"Vivia","Johnshines",0
52,1,"Earth",FALSE,"G",6,"S","TRAPPIST-1e",33.9319443085005,FALSE,4,0,2,4683,0,"Elaney","Hubbarton",0
53,1,"Earth",FALSE,"F",11,"S","TRAPPIST-1e",25,FALSE,0,0,1938,0,1,"Elson","Hickerson",1
56,1,"Europa",FALSE,"A",1,"S","TRAPPIST-1e",2,FALSE,0,0,0,0,0,"Okulas","Tractive",1
56,3,"Europa",FALSE,"A",1,"S","TRAPPIST-1e",27,FALSE,279,605,3374,286,3,"Zinoces","Tractive",1
58,1,"Earth",TRUE,"G",7,"S","PSO J318.5-22",36,FALSE,0,0,0,0,0,"Warry","Ayalazquez",0
61,1,"Earth",FALSE,"F",12,"S","TRAPPIST-1e",22,FALSE,45,1096,148,1377,1,"Shanya","Salez",0
62,1,"Earth",FALSE,"F",13,"S","TRAPPIST-1e",62,FALSE,0,592,0,17,25,"Sterry","Greeves",0
64,2,"Europa",TRUE,"E",3,"S","TRAPPIST-1e",33,FALSE,0,0,506.626170680669,0,0,"Colatz","Keen",1
66,1,"Earth",FALSE,"G",6,"P","TRAPPIST-1e",62,FALSE,1,153,197,0,460,"Diandy","Pecketton",0
67,1,"Earth",TRUE,"G",10,"S","PSO J318.5-22",0,FALSE,0,0,0,0,0,"Ninaha","Leeves",1
67,2,"Earth",FALSE,"G",10,"S","TRAPPIST-1e",18,FALSE,1,258,446,0,0,"Celine","Leeves",1
67,3,"Earth",FALSE,"F",15,"S","55 Cancri e",21,FALSE,1946,37,0,0,24,"Velyne","Leeves",0
68,1,"Mars",FALSE,"E",4,"S","TRAPPIST-1e",31.8448574222167,FALSE,793,0,2,253,0,"Cinst","Binie",0
69,1,"Earth",FALSE,"F",16,"S","TRAPPIST-1e",42,FALSE,887,0,9,6,0,"NONE","NONE",1
70,1,"Earth",FALSE,"F",13,"P","TRAPPIST-1e",19,FALSE,190,0,5,1,726,"Meremy","Brighttt",0
72,1,"Earth",FALSE,"F",17,"S","TRAPPIST-1e",14,FALSE,0,1,0,0,1063,"Thell","Brantuarez",0
73,1,"Mars",FALSE,"D",3,"P","PSO J318.5-22",37,FALSE,46,83,738,0,12,"Gorn","Make",0
74,1,"Europa",FALSE,"C",3,"S","TRAPPIST-1e",42,FALSE,1,8397,0,0,506,"Aldibah","Mostedry",1
76,1,"Mars",FALSE,"F",18,"S","TRAPPIST-1e",27,FALSE,147,0,1018,0,0,"Conk","Dal",1
77,1,"Mars",FALSE,"F",15,"P","TRAPPIST-1e",28,FALSE,14,0,1295,0,0,"Pon","Blité",1
78,1,"Europa",FALSE,"C",4,"S","TRAPPIST-1e",38,FALSE,0,5840,0,321,9654,"Spuri","Pokerheed",0
81,1,"Earth",TRUE,"G",13,"S","TRAPPIST-1e",13,FALSE,0,0,0,0,0,"Dellie","Vinozarks",0
82,1,"Mars",FALSE,"F",16,"P","TRAPPIST-1e",42,FALSE,7406,0,0,0,0,"Totse","Datte",0
82,2,"Mars",TRUE,"F",16,"P","TRAPPIST-1e",2,FALSE,0,0,0,0,0,"Eaturs","Datte",1
82,3,"Mars",FALSE,"F",16,"P","TRAPPIST-1e",8,FALSE,0,0,0,0,0,"NONE","NONE",1
86,1,"Earth",FALSE,"F",17,"P","TRAPPIST-1e",43,FALSE,211,0,0,638,513,"Jodye","Kinson",0
90,1,"Earth",TRUE,"G",15,"S","TRAPPIST-1e",35,FALSE,0,0,0,0,0,"Heremy","Santry",1
91,1,"Earth",TRUE,"G",16,"S","TRAPPIST-1e",26,FALSE,1,0,0,0,0,"Deanne","Yorkland",1
91,2,"Earth",FALSE,"F",20,"S","TRAPPIST-1e",27,FALSE,1,697,31,188,0,"Tinez","Yorkland",0
92,1,"Earth",FALSE,"G",9,"P","TRAPPIST-1e",19,FALSE,0,0,670,1,34,"Gracy","Dunnisey",0
92,2,"Earth",TRUE,"G",9,"P","TRAPPIST-1e",0,FALSE,0,0,335,0,0,"Stald","Hewson",1
92,3,"Earth",TRUE,"G",9,"P","TRAPPIST-1e",3,FALSE,0,0,0,0,0,"Tiney","Hewson",1
97,1,"Europa",FALSE,"A",2,"S","TRAPPIST-1e",54,FALSE,0,1208,0,3,637,"Alchium","Fictful",0
98,1,"Earth",FALSE,"G",11,"P","TRAPPIST-1e",26,FALSE,0,856,5,32,0,"Doria","Carezquez",0
98,2,"Earth",FALSE,"G",11,"P","TRAPPIST-1e",26,FALSE,0,2811,957,0,87,"Leence","Carezquez",1
99,1,"Earth",FALSE,"F",19,"P","PSO J318.5-22",23,FALSE,311,427,526,37,0,"Aliey","Leetersoney",0
99,2,"Earth",FALSE,"G",12,"P","TRAPPIST-1e",2,FALSE,0,0,0,0,0,"Thewis","Connelson",1
101,1,"Mars",TRUE,"F",346.74144224777,"S","TRAPPIST-1e",31,FALSE,0,0,0,0,0,"Book","Trad",1
103,1,"Earth",FALSE,"F",24,"S","TRAPPIST-1e",24,FALSE,0,0,0,0,17,"Arlen","Mclainez",1
103,2,"Earth",TRUE,"G",18,"S","55 Cancri e",9,FALSE,0,0,0,0,0,"Shaele","Mclainez",1
105,1,"Earth",FALSE,"F",21,"P","TRAPPIST-1e",27,FALSE,0,0,570,2,131,"Carry","Cleachrand",0
107,1,"Mars",FALSE,"D",2,"S","TRAPPIST-1e",21,FALSE,1743,5,17,0,0,"Coobix","Hart",0
108,1,"Earth",TRUE,"G",19,"S","TRAPPIST-1e",23,FALSE,0,0,0,0,0,"Natald","Handertiz",0
108,2,"Earth",FALSE,"G",19,"S","TRAPPIST-1e",31,FALSE,562,0,326,0,0,"NONE","NONE",0
108,3,"Earth",FALSE,"G",19,"S","TRAPPIST-1e",0,FALSE,0,0,0,0,0,"Oline","Handertiz",1
110,2,"Europa",FALSE,"B",5,"P","TRAPPIST-1e",40,FALSE,0,331,0,0,1687,"Aldeba","Bootious",0
110,3,"Europa",FALSE,"B",5,"P","TRAPPIST-1e",42,FALSE,2209,11418,0,1868,445,"Alaratz","Aloubtled",1
111,1,"Europa",TRUE,"E",6,"S","TRAPPIST-1e",29,FALSE,0,0,0,0,0,"Aldera","Supred",1
112,1,"Europa",FALSE,"B",1,"S","55 Cancri e",48,TRUE,0,2537,87,17,13,"Moth","Cowtale",1
113,1,"Earth",FALSE,"F",23,"P","TRAPPIST-1e",64,FALSE,0,0,804,0,0,"Idary","Carvis",1
114,1,"Earth",FALSE,"G",20,"S","TRAPPIST-1e",27,FALSE,82,157,429,238,1,"Maura","Beckerson",0
116,1,"Europa",FALSE,"D",4,"P","TRAPPIST-1e",33,FALSE,1,2223,0,12,404,"Alhenah","Suptive",1
119,1,"Europa",FALSE,"A",0,"P","TRAPPIST-1e",39,FALSE,0,2344,0,65,6898,"Batan","Coning",0
119,2,"Europa",TRUE,"A",0,"P","TRAPPIST-1e",13,FALSE,0,0,0,0,0,"Kleeiak","Coning",1
120,1,"Mars",TRUE,"F",25,"P","TRAPPIST-1e",24,FALSE,0,0,0,0,0,"Bees","Sacre",1
122,1,"Earth",FALSE,"G",21,"S","TRAPPIST-1e",29,FALSE,0,0,0,699,74,"Shelle","Hayder",0
123,1,"Earth",FALSE,"F",27,"P","TRAPPIST-1e",18,FALSE,55,597,49,0,1,"Iree","Fielson",0
129,1,"Earth",TRUE,"G",22,"S","PSO J318.5-22",22,FALSE,0,0,0,0,0,"Race","Fowles",1
133,1,"Mars",TRUE,"F",29,"S","TRAPPIST-1e",19,FALSE,0,0,0,0,0,"Flynx","Blie",1
133,2,"Mars",FALSE,"D",5,"S","TRAPPIST-1e",36,FALSE,2738,0,0,0,0,"Egrasp","Blie",0
134,1,"Earth",FALSE,"G",17,"P","TRAPPIST-1e",19,FALSE,0,14,730,0,0,"Camina","Harmontry",1
136,1,"Earth",FALSE,"G",23,"S","PSO J318.5-22",47,FALSE,97,418,126,25,55,"NONE","NONE",0
138,1,"Earth",TRUE,"G",18,"P","TRAPPIST-1e",13,FALSE,0,0,0,0,0,"Fayene","Gambs",1
139,1,"Europa",TRUE,"C",6,"S","55 Cancri e",35,FALSE,0,0,0,0,0,"Charda","Myling",1
141,1,"Mars",FALSE,"F",30,"P","TRAPPIST-1e",31,FALSE,0,0,97,0,0,"Pyrohs","Harte",0
144,1,"Earth",FALSE,"F",31,"S","TRAPPIST-1e",20,FALSE,0,420,210,0,0,"Guadae","Dayers",1
146,1,"Earth",FALSE,"G",25,"S","TRAPPIST-1e",56,FALSE,0,0,0,0,0,"Verly","Wolferguson",0
147,1,"Earth",TRUE,"G",26,"S","TRAPPIST-1e",50,FALSE,0,0,0,0,0,"Samie","Hubbarrison",1
148,1,"Mars",FALSE,"F",31,"P","TRAPPIST-1e",42,FALSE,1072,0,10,0,76,"Corsh","Pashe",0
149,1,"Earth",TRUE,"G",27,"S","55 Cancri e",27.7203587236791,FALSE,0,0,0,0,0,"Billya","Hubbarrison",1
151,1,"Earth",TRUE,"G",20,"P","55 Cancri e",38,FALSE,0,0,0,0,0,"Shanie","Simson",0
152,1,"Earth",FALSE,"F",32,"P","TRAPPIST-1e",41,FALSE,0,0,0,0,607,"Andan","Estron",0
163,1,"Europa",TRUE,"B",8,"P","TRAPPIST-1e",26,FALSE,0,0,0,0,0,"Kabiton","Hetforhaft",1
163,2,"Europa",TRUE,"B",8,"P","TRAPPIST-1e",17,FALSE,0,0,0,0,0,"Scharab","Hetforhaft",1
164,1,"Earth",FALSE,"G",28,"S","TRAPPIST-1e",57,FALSE,50,1688,0,270.717507457285,135,"Fany","Hutchinton",1
165,1,"Mars",TRUE,"F",37,"P","TRAPPIST-1e",35,FALSE,0,0,0,0,0,"Graven","Anche",1
167,1,"Mars",TRUE,"F",35,"S","TRAPPIST-1e",13,FALSE,0,0,0,0,0,"Miten","Floaf",1
167,2,"Mars",FALSE,"F",35,"S","TRAPPIST-1e",27,FALSE,1365,0,48,22,137,"Rios","Floaf",0
169,1,"Earth",TRUE,"G",23,"P","TRAPPIST-1e",31,FALSE,0,0,0,0,0,"Wandy","Fisherry",0
172,1,"Earth",TRUE,"G",24,"P","TRAPPIST-1e",32,FALSE,0,0,0,0,0,"Hanna","Johnshines",1
173,1,"Earth",FALSE,"E",11,"S","TRAPPIST-1e",58,FALSE,0,985,0,5,0,"Hilip","Grifford",1
174,1,"Earth",FALSE,"F",38,"P","55 Cancri e",21,FALSE,287,0,16,115,175,"Doryn","Lambles",0
178,1,"Mars",FALSE,"D",6,"S","TRAPPIST-1e",38,FALSE,3414,0,161,28,119,"Wees","Knik",0
179,1,"Earth",FALSE,"G",26,"P","TRAPPIST-1e",19,FALSE,1,219,673,2,11,"Elaney","Webstephrey",1
179,2,"Earth",FALSE,"G",26,"P","TRAPPIST-1e",0,FALSE,0,0,0,0,0,"Raque","Webstephrey",0
179,3,"Earth",FALSE,"G",26,"P","TRAPPIST-1e",3,FALSE,0,0,0,0,0,"Sallyl","Webstephrey",1
181,1,"Earth",FALSE,"G",27,"P","TRAPPIST-1e",20,FALSE,0,0,3,299,92,"Nancis","Brighttt",0
182,1,"Europa",TRUE,"C",3,"P","TRAPPIST-1e",24,FALSE,0,0,0,0,0,"Ksorab","Disight",1
186,1,"Earth",FALSE,"G",28,"P","TRAPPIST-1e",25,FALSE,62,0,0,0,956,"Camiet","Shephendry",0
188,1,"Earth",TRUE,"G",31,"S","TRAPPIST-1e",56,FALSE,0,0,0,0,0,"Branda","Romez",1
189,1,"Earth",FALSE,"E",8,"P","55 Cancri e",49,FALSE,84,3,401,202,98,"Helly","Booters",0
192,1,"Earth",TRUE,"G",29,"P","TRAPPIST-1e",1,FALSE,0,0,0,0,0,"Tance","Adavisons",1
193,1,"Mars",TRUE,"F",41,"P","TRAPPIST-1e",2,FALSE,0,0,0,0,0,"Sps","Raf",1
193,2,"Mars",FALSE,"F",41,"P","TRAPPIST-1e",23,FALSE,0,0,8,1072,0,"Frook","Raf",0
193,3,"Mars",FALSE,"F",41,"P","TRAPPIST-1e",0,FALSE,0,0,0,0,0,"Goles","Raf",1
195,1,"Mars",FALSE,"F",42,"P","TRAPPIST-1e",39,FALSE,406,0,867,0,0,"Bar","Floaf",1
196,1,"Mars",FALSE,"D",5,"P","PSO J318.5-22",25,FALSE,1052,0,719,0,7,"Caper","Emead",0
197,1,"Europa",FALSE,"C",5,"P","TRAPPIST-1e",36,FALSE,0,972,0,795,575,"Astrak","Dissper",0
198,1,"Earth",FALSE,"G",30,"P","PSO J318.5-22",52,FALSE,0,0,0,0,0,"Jeroy","Cookson",1
199,1,"Earth",TRUE,"G",33,"S","TRAPPIST-1e",18,FALSE,0,0,0,0,0,"Regana","Morrows",0
200,1,"Earth",TRUE,"G",31,"P","TRAPPIST-1e",15,FALSE,0,0,0,0,0,"Elia","Colomonson",1
201,2,"Europa",TRUE,"B",3,"S","TRAPPIST-1e",47,FALSE,0,0,0,0,0,"Edaruma","Bacistion",1
202,1,"Europa",TRUE,"B",9,"P","55 Cancri e",45,FALSE,0,0,0,0,0,"Pomera","Embleng",1
202,2,"Europa",FALSE,"A",2,"P","55 Cancri e",14.2898137410561,FALSE,0,2433,0,878,443,"Vegas","Embleng",1
203,1,"Europa",TRUE,"C",8,"S","TRAPPIST-1e",51,FALSE,0,0,0,0,0,"Ancham","Heateele",1
205,1,"Earth",FALSE,"G",34,"S","TRAPPIST-1e",29,FALSE,0,2,66,0,705,"Carma","Oneiles",0
211,1,"Mars",FALSE,"F",44,"P","TRAPPIST-1e",29,FALSE,902,1,137,0,0,"Pebuts","Appie",1
211,2,"Mars",TRUE,"F",44,"P","TRAPPIST-1e",11,FALSE,0,0,0,0,0,"Corsh","Appie",1
211,3,"Mars",FALSE,"F",44,"P","TRAPPIST-1e",17,FALSE,848,0,307,182,0,"Picers","Date",0
216,1,"Earth",FALSE,"F",40,"S","55 Cancri e",21,FALSE,0,56,0,0,1918,"Searla","Garnes",0
217,1,"Earth",FALSE,"F",47,"P","TRAPPIST-1e",38,FALSE,1517,0,0,27,0,"Prilly","Shieldson",0
220,1,"Earth",TRUE,"G",37,"P","TRAPPIST-1e",2,FALSE,0,0,0,0,0,"Tyle","Wilsoney",1
220,4,"Earth",FALSE,"E",10,"P","TRAPPIST-1e",25,FALSE,122,84,0,0,0,"Dont","Wilsoney",0
220,5,"Earth",FALSE,"F",48,"P","TRAPPIST-1e",16,FALSE,0,3,0,0,1099,"Velyne","Wilsoney",0
220,6,"Earth",FALSE,"G",37,"P","55 Cancri e",1,FALSE,0,0,0,0,0,"Weney","Wilsoney",0
220,7,"Earth",TRUE,"G",37,"P","TRAPPIST-1e",15,FALSE,0,0,0,0,0,"Guye","Wilsoney",1
221,2,"Mars",FALSE,"E",13,"S","TRAPPIST-1e",23,FALSE,1215,80,1,2,0,"Yogark","Reke",0
221,3,"Mars",FALSE,"E",13,"S","TRAPPIST-1e",33,FALSE,1933,12,188,1,0,"Jacks","Reke",0
221,4,"Mars",TRUE,"E",13,"S","TRAPPIST-1e",21,FALSE,0,0,0,0,0,"Eerch","Reke",1
221,6,"Mars",FALSE,"E",13,"S","TRAPPIST-1e",16,FALSE,915,0,221,234,0,"Gran","Reke",0
221,7,"Mars",TRUE,"E",13,"S","TRAPPIST-1e",42,FALSE,0,0,0,0,0,"Rohs","Reke",0
222,2,"Mars",TRUE,"F",41,"S","TRAPPIST-1e",24,FALSE,0,0,0,0,0,"Colf","Deva",1
222,3,"Mars",TRUE,"E",14,"S","TRAPPIST-1e",16,FALSE,0,0,0,0,0,"Grake","Perte",1
223,1,"Earth",FALSE,"G",35,"S","TRAPPIST-1e",21,FALSE,0,2,665,0,9,"Evan","Sykess",0
224,1,"Mars",FALSE,"F",42,"S","TRAPPIST-1e",32,TRUE,181,0,5,1634,0,"Blues","Queen",0
225,1,"Earth",TRUE,"G",38,"P","PSO J318.5-22",58,FALSE,0,0,0,0,0,"Carly","Hortis",1
231,1,"Mars",FALSE,"F",44,"S","TRAPPIST-1e",30,FALSE,85,0,1,1720,0,"Krus","Nate",0
232,1,"Earth",TRUE,"G",36,"S","PSO J318.5-22",27,FALSE,0,634.819450154006,0,0,0,"Nica","Bakerrison",0
233,1,"Mars",FALSE,"F",45,"S","TRAPPIST-1e",32,FALSE,56,0,256,1438,0,"Teda","Wist",0
234,1,"Earth",FALSE,"F",50,"P","TRAPPIST-1e",43,FALSE,0,888,0,0,0,"Keitha","Josey",0
239,1,"Mars",FALSE,"F",474.126555695563,"P","TRAPPIST-1e",37,FALSE,637,0,0,92,319,"Diedow","Resty",0
240,1,"Mars",TRUE,"F",52,"P","TRAPPIST-1e",35,FALSE,0,0,0,0,0,"Puffes","Crie",1
241,1,"Europa",FALSE,"E",11,"P","55 Cancri e",33,FALSE,0,1249,0,4812,1116,"Alas","Dischod",0
242,1,"Europa",FALSE,"F",46,"S","TRAPPIST-1e",18,FALSE,313,1,691,283,0,"Almone","Sté",0
244,2,"Mars",TRUE,"F",47,"S","55 Cancri e",14,FALSE,0,0,0,0,0,"Tous","Sad",1
245,1,"Europa",FALSE,"C",6,"P","55 Cancri e",46,FALSE,0,3571,0,0,7,"Glueba","Repumparte",1
245,2,"Europa",FALSE,"C",6,"P","TRAPPIST-1e",33,FALSE,0,86,796,584,10912,"Anchib","Repumparte",0
246,1,"Mars",FALSE,"D",8,"P","TRAPPIST-1e",21,FALSE,2947,0,287,27,0,"Mele","Sesa",0
248,1,"Europa",FALSE,"C",10,"S","TRAPPIST-1e",33,FALSE,0,1,0,8620,1063,"Genifi","Spanxibus",0
250,1,"Earth",TRUE,"G",38,"S","PSO J318.5-22",47,FALSE,0,0,0,0,0,"Camily","Kramosley",0
251,1,"Europa",TRUE,"C",11,"S","55 Cancri e",54,FALSE,0,0,0,0,0,"Diphah","Amsive",1
253,1,"Earth",FALSE,"G",42,"P","TRAPPIST-1e",29,FALSE,272,615,0,0,1,"Dawne","Cardner",0
254,1,"Earth",FALSE,"F",54,"P","TRAPPIST-1e",21,FALSE,702,172,408,2,6,"Race","Stenson",1
255,1,"Europa",TRUE,"A",3,"S","TRAPPIST-1e",24,FALSE,0,0,0,0,0,"Ashir","Mingious",1
257,2,"Mars",TRUE,"F",49,"S","TRAPPIST-1e",60,FALSE,0,0,0,0,0,"Squars","Berte",1
260,1,"Europa",FALSE,"E",16,"S","TRAPPIST-1e",26,FALSE,0,4810,0,981,2054,"Segino","Inderly",0
261,1,"Earth",FALSE,"F",56,"P","TRAPPIST-1e",26,FALSE,66,29,0,0,803,"Dord","Bookerson",0
263,1,"Earth",TRUE,"G",43,"P","TRAPPIST-1e",28,FALSE,0,0,0,0,0,"Maen","Merkins",1
265,1,"Europa",TRUE,"D",8,"S","TRAPPIST-1e",39,FALSE,0,0,0,1867.40901461622,0,"Etair","Herpumble",1
269,1,"Earth",FALSE,"F",52,"S","55 Cancri e",47,FALSE,0,231,592,0,0,"Lerome","Polliamposs",1
270,1,"Earth",FALSE,"F",59,"P","TRAPPIST-1e",63,FALSE,0,25,128,0,1240,"Cathya","Fryersonis",0
278,1,"Earth",FALSE,"G",537.701546465775,"P","TRAPPIST-1e",35,FALSE,0,0,0,888,881.325747144189,"Judya","Beachez",0
278,2,"Earth",FALSE,"G",45,"P","TRAPPIST-1e",45,FALSE,0,97,0,14,333,"Marice","Beachez",0
281,1,"Earth",FALSE,"F",63,"P","TRAPPIST-1e",19,FALSE,0,0,2078,0,0,"Derine","Pierry",1
282,1,"Earth",FALSE,"F",54,"S","TRAPPIST-1e",21,FALSE,0,918,0,0,0,"Valex","Baketton",1
283,1,"Earth",TRUE,"G",46,"P","PSO J318.5-22",29,FALSE,0,0,0,0,0,"Jacky","Santin",1
285,1,"Europa",TRUE,"E",16,"P","TRAPPIST-1e",14,FALSE,0,0,0,0,0,"Krabik","Invebodene",1
285,2,"Europa",TRUE,"E",16,"P","55 Cancri e",42,FALSE,0,0,0,0,0,"Grasath","Invebodene",1
287,1,"Europa",TRUE,"B",0,"P","55 Cancri e",39,FALSE,0,0,0,0,0,"Tetra","Bootty",1
288,1,"Earth",FALSE,"F",55,"S","55 Cancri e",19,FALSE,0,0,0,0,828,"Gory","Delez",0
289,1,"Europa",TRUE,"C",12,"S","55 Cancri e",19,FALSE,0,0,0,0,0,"Furuson","Objeciane",1
290,1,"Europa",FALSE,"B",7,"S","55 Cancri e",26,FALSE,0,4458,0,1157,262,"Skaton","Excialing",1
290,3,"Europa",FALSE,"B",7,"S","TRAPPIST-1e",43,FALSE,0,0,0,0,0,"Dhenar","Excialing",1
290,4,"Europa",FALSE,"B",7,"S","55 Cancri e",9,FALSE,0,0,0,0,0,"Atino","Excialing",1
291,1,"Europa",FALSE,"D",10,"S","TRAPPIST-1e",40,FALSE,0,6500,88,1090,0,"Castab","Brakeril",1
294,1,"Europa",TRUE,"B",8,"S","TRAPPIST-1e",50,FALSE,0,0,0,1116.63757114242,0,"Phonons","Roforhauge",1
297,1,"Earth",FALSE,"G",47,"P","TRAPPIST-1e",24,FALSE,90,2,1324,17,0,"Ernice","Gardonadox",1
298,1,"Europa",TRUE,"A",3,"P","55 Cancri e",57,FALSE,0,0,0,0,0,"Ashird","Sorbitter",1
301,1,"Earth",TRUE,"G",318.677824689865,"S","TRAPPIST-1e",16,FALSE,0,0,0,0,0,"Margia","Wriggins",0
302,1,"Earth",FALSE,"F",67,"P","TRAPPIST-1e",23,FALSE,0,0,15,0,1370,"Lesley","Shephendry",0
303,1,"Europa",TRUE,"G",41,"S","TRAPPIST-1e",23,FALSE,0,0,0,0,0,"Oraryn","Kirklander",1
304,1,"Europa",FALSE,"E",18,"S","TRAPPIST-1e",28,FALSE,0,422,0,1851,5166,"Betena","Ausivetpul",0
305,1,"Europa",FALSE,"C",7,"P","55 Cancri e",23,FALSE,0,584,0,20,2469,"Suhelik","Geousker",0
309,1,"Earth",FALSE,"F",60,"S","TRAPPIST-1e",18,FALSE,1194,0,157,6,0,"Billya","Bowerson",0
310,1,"Europa",FALSE,"A",0,"P","TRAPPIST-1e",67,FALSE,0,230,0,4476,241,"Naviton","Coudered",0
313,1,"Earth",FALSE,"F",68,"P","PSO J318.5-22",60,FALSE,7,540,1,0,4,"Briney","Mckinsond",1
313,2,"Earth",TRUE,"G",50,"P","55 Cancri e",10.9505468384039,FALSE,0,0,0.5,0,0,"Jona","Mckinsond",1
313,3,"Earth",FALSE,"F",68,"P","55 Cancri e",49,FALSE,331,0,0,318,0,"Jaimer","Mckinsond",1
314,1,"Earth",FALSE,"G",51,"P","55 Cancri e",26,FALSE,386,0,74,0,1330,"Kell","Kochroeders",0
